id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
1837,Commercial,commercial,1,15,4012564.4847993897,1184222.798305129
1838,Office,office,6,60,4011835.11301884,1181594.6752622288
1839,Office,office,6,60,4011812.361331098,1181598.2763083782
1840,Office,office,6,60,4011882.3639320643,1181587.2146770093
1841,Commercial,commercial,1,15,4008307.1957182717,1170058.0771588697
1842,Commercial,commercial,1,15,4008535.1764779664,1169358.7002465872
1843,Commercial,commercial,1,15,4008429.3161447085,1169376.0925381377
1844,Commercial,commercial,1,15,4009027.4240200436,1169398.3632678504
1845,Commercial,commercial,1,15,4009215.6667332374,1169474.2319219694
1846,Commercial,commercial,1,15,4009226.9339084635,1169496.3337636834
1847,Commercial,commercial,1,15,4007922.7095465506,1169236.8922097448
1848,Office,office,1,10,4007906.4299076353,1169204.1292452526
1849,Commercial,commercial,1,15,4007776.96345392,1169375.5504242133
1850,Commercial,commercial,1,15,4007830.7452693763,1169390.5851792465
1851,Commercial,commercial,1,15,4007967.7207163833,1169184.1962442533
1852,Office,office,1,10,4007940.8509380287,1168887.7349666874
1853,Commercial,commercial,1,15,4004288.657564873,1178161.60322751
1854,Commercial,commercial,1,15,4007464.0367238196,1171194.1458263225
1855,Green Building,office,1,10,4004036.3729789606,1182395.5802395379
1856,Purple building,office,1,10,4004036.328391153,1182385.9351711944
1857,Yellow Building,office,1,10,4003931.0680742213,1182519.2208169764
1858,Red Building,office,1,10,4003878.2363098855,1182346.8922566525
1859,Commercial,commercial,2,30,4010463.8131737057,1174551.8666561344
1860,Commercial,commercial,1,15,4010103.537581864,1174104.9447824534
1861,Commercial,commercial,1,15,4010059.5688952166,1174210.7327618632
1862,Commercial,commercial,1,15,4004007.8832043465,1178475.1375906144
1863,Commercial,commercial,1,15,4003990.0402927725,1178460.6450057975
1864,Commercial,commercial,1,15,4003990.02313545,1178453.7884830188
1865,Commercial,commercial,1,15,4004126.6538269534,1178472.0420709916
1866,Commercial,commercial,1,15,4004127.751194973,1178415.1875129552
1867,Office,office,1,10,4004146.9834161666,1178598.3362188418
1868,Commercial,commercial,1,15,4004090.233779928,1178571.3062049747
1869,Commercial,commercial,1,15,4004069.1970591154,1178617.5009486529
1870,Commercial,commercial,1,15,4004069.274665422,1178593.6699529877
1871,Commercial,commercial,1,15,4004123.7976879072,1178708.3341850168
1872,Commercial,commercial,1,15,4004125.35995888,1178845.2091320439
1873,Commercial,commercial,1,15,4004114.4780920646,1178811.538695019
1874,Office,office,1,10,4004453.3240518817,1178215.1029058294
1875,Office,office,1,10,4004408.6031806963,1178204.1497524625
1876,Office,office,1,10,4004185.291130253,1178238.7720725373
1877,Commercial,commercial,1,15,4004024.328726362,1178220.321001399
1878,Office,office,1,10,4006820.3476548456,1165580.9765745786
1879,Office,office,1,10,4006816.336185307,1165523.958947183
1880,Office,office,1,10,4006595.4951936416,1166320.2861287238
1881,Office,office,1,10,4006665.0475593098,1166648.211785791
1882,Office,office,1,10,4006938.0065094163,1166039.49086477
1883,Office,office,1,10,4006521.2140670936,1165575.6823649032
1884,Office,office,1,10,4006666.558081523,1165597.7451855224
1885,Office,office,1,10,4006341.5090663075,1166122.4427689977
